timestamp,frame,mode,centroid_yaw,action_zone_yaw,raw_delta_deg,target_yaw,bias_applied_deg,confidence,action_intensity_score,breakaway_score,switch_of_play_score,lead_deg,recommended_fov,subgroup_size,subgroup_track_ids,comp_sub_speed_norm,comp_coherence,comp_main_speed_norm,comp_sep_growth,comp_size_penalty,reason_code,reason
30.03,900,follow,-14.65,6.15,20.8,0.35,15.0,0.907,0.912,0.0,0.126,-0.08,86.9,0,,0.0,0.0,0.103,0.0,0.0,active,"steady-state: zone 6.1 vs centroid -14.7, bias +15.0deg (conf 0.91)"
30.53,915,follow,11.52,6.84,-4.68,9.05,-2.47,0.781,0.91,0.0,0.141,1.52,88.3,0,,0.0,0.0,0.07,0.0,0.0,active,"steady-state: zone 6.8 vs centroid 11.5, bias -2.5deg (conf 0.78)"
31.031,930,follow,11.1,7.64,-3.46,8.96,-2.14,0.802,0.915,0.0,0.205,0.79,88.1,0,,0.0,0.0,0.09,0.0,0.0,active,"steady-state: zone 7.6 vs centroid 11.1, bias -2.1deg (conf 0.80)"
31.532,945,follow,6.27,4.91,-1.36,-0.53,-6.8,0.777,0.914,0.0,0.157,-7.4,88.3,0,,0.0,0.0,0.094,0.0,0.0,active,"steady-state: zone 4.9 vs centroid 6.3, bias -6.8deg (conf 0.78)"
32.032,960,follow,10.8,4.24,-6.56,7.48,-3.32,0.821,0.928,0.0,0.437,2.51,91.5,0,,0.0,0.0,0.154,0.0,0.0,active,"steady-state: zone 4.2 vs centroid 10.8, bias -3.3deg (conf 0.82)"
32.532,975,follow,-4.6,4.46,9.06,3.32,7.92,0.751,0.908,0.0,0.043,1.49,88.7,0,,0.0,0.0,0.095,0.0,0.0,active,"steady-state: zone 4.5 vs centroid -4.6, bias +7.9deg (conf 0.75)"
33.033,990,follow,12.84,4.83,-8.01,6.04,-6.8,0.908,0.924,0.0,0.317,0.53,89.8,0,,0.0,0.0,0.15,0.0,0.0,active,"steady-state: zone 4.8 vs centroid 12.8, bias -6.8deg (conf 0.91)"
33.534,1005,follow,-3.44,3.61,7.05,-0.45,2.99,0.8,0.93,0.785,0.067,-3.32,90.9,3,2;10;22,0.16,0.3,0.11,0.0,0.0,active,"breakaway: subgroup(n=3, breakaway=0.79) vs main cluster; bias +3.0deg applied"
34.034,1020,follow,13.46,2.58,-10.88,3.5,-9.96,0.871,0.937,0.837,0.21,-0.56,91.3,2,10;22,0.159,0.106,0.161,0.618,0.0,active,"breakaway: subgroup(n=2, breakaway=0.84) vs main cluster; bias -10.0deg applied"
34.535,1035,follow,-5.8,2.77,8.57,2.62,8.42,0.799,0.928,0.0,0.447,1.97,91.7,0,,0.0,0.0,0.137,0.0,0.0,active,"steady-state: zone 2.8 vs centroid -5.8, bias +8.4deg (conf 0.80)"
35.035,1050,follow,22.05,3.87,-18.18,7.51,-14.54,0.911,0.939,0.76,0.417,2.22,91.3,2,10;22,0.108,0.251,0.123,0.0,0.0,active,"breakaway: subgroup(n=2, breakaway=0.76) vs main cluster; bias -14.5deg applied"
35.535,1065,follow,20.24,8.4,-11.84,16.96,-3.28,0.855,0.945,0.803,0.53,8.0,92.9,2,10;22,0.063,0.546,0.171,0.0,0.0,active,"breakaway: subgroup(n=2, breakaway=0.80) vs main cluster; bias -3.3deg applied"
36.036,1080,follow,4.46,10.6,6.14,8.17,3.71,0.836,0.919,0.0,0.175,-1.7,87.6,0,,0.0,0.0,0.188,0.0,0.0,active,"steady-state: zone 10.6 vs centroid 4.5, bias +3.7deg (conf 0.84)"
36.537,1095,follow,-9.01,10.92,19.93,5.99,15.0,0.904,0.936,0.888,0.143,-2.53,91.7,4,3;6;11;24,0.155,0.993,0.172,0.0,0.0,active,"breakaway: subgroup(n=4, breakaway=0.89) vs main cluster; bias +15.0deg applied"
37.037,1110,follow,4.91,10.88,5.97,9.4,4.49,0.831,0.921,0.0,0.224,-0.58,88.4,0,,0.0,0.0,0.159,0.0,0.0,active,"steady-state: zone 10.9 vs centroid 4.9, bias +4.5deg (conf 0.83)"
37.538,1125,follow,18.33,11.39,-6.94,13.42,-4.91,0.858,0.926,0.0,0.492,1.22,92.4,0,,0.0,0.0,0.094,0.0,0.0,active,"steady-state: zone 11.4 vs centroid 18.3, bias -4.9deg (conf 0.86)"
38.038,1140,follow,19.68,11.39,-8.29,11.91,-7.77,0.859,0.919,0.0,0.215,-0.75,88.2,0,,0.0,0.0,0.137,0.0,0.0,active,"steady-state: zone 11.4 vs centroid 19.7, bias -7.8deg (conf 0.86)"
38.538,1155,follow,-26.74,8.44,35.18,-11.74,15.0,0.837,0.941,0.779,0.443,-6.75,91.6,3,3;11;24,0.113,0.377,0.187,0.0,0.0,active,"breakaway: subgroup(n=3, breakaway=0.78) vs main cluster; bias +15.0deg applied"
39.039,1170,follow,-23.6,8.96,32.56,-8.6,15.0,0.873,0.927,0.847,0.146,5.56,91.4,3,3;11;24,0.049,0.749,0.069,0.0,0.0,active,"breakaway: subgroup(n=3, breakaway=0.85) vs main cluster; bias +15.0deg applied"
39.54,1185,follow,-11.04,8.96,20.0,3.96,15.0,0.819,0.906,0.0,0.021,-0.77,87.7,0,,0.0,0.0,0.163,0.0,0.0,active,"steady-state: zone 9.0 vs centroid -11.0, bias +15.0deg (conf 0.82)"
40.04,1200,follow,-12.23,5.48,17.71,-3.98,8.25,0.844,0.935,0.0,0.736,-7.94,96.0,0,,0.0,0.0,0.158,0.0,0.0,active,switch of play: score 0.74; bias +8.3deg applied
40.541,1215,follow,4.53,5.08,0.55,8.41,3.88,0.812,0.92,0.0,0.368,4.23,90.5,0,,0.0,0.0,0.101,0.0,0.0,active,"steady-state: zone 5.1 vs centroid 4.5, bias +3.9deg (conf 0.81)"
